country,code,population,purpose,amt,amt_percap
Bangladesh,BGD,148692000,Agriculture,14446879232.0417,97.1597613324301
Bangladesh,BGD,148692000,Education,6636641092.2242,44.6334778752334
Bangladesh,BGD,148692000,Health,6824622156.00008,45.8977090630301
Bangladesh,BGD,148692000,Law&Justice,3640736321.15955,24.4850854192529
Bangladesh,BGD,148692000,Water,3446798893.3698,23.1807958287588
Benin,BEN,8850000,Agriculture,1473805723.12568,166.531720127195
Benin,BEN,8850000,Education,1088051030.1822,122.943619229627
Benin,BEN,8850000,Health,1143373712.89855,129.194769819045
Benin,BEN,8850000,Law&Justice,1019502471.50222,115.198019378782
Benin,BEN,8850000,Water,938101311.0091,106.000148136621
Bolivia,BOL,9929000,Agriculture,3633984075.01507,365.996986102837
Bolivia,BOL,9929000,Education,1487505034.11645,149.814184118889
Bolivia,BOL,9929000,Health,1576349584.57983,158.762169864017
Bolivia,BOL,9929000,Law&Justice,4614823170.06312,464.782271131345
Bolivia,BOL,9929000,Water,1753345584.5421,176.588335637234
Brazil,BRA,194946000,Agriculture,17645756891.1836,90.5161269848245
Brazil,BRA,194946000,Education,5659583633.89335,29.0315453196955
Brazil,BRA,194946000,Health,4580557072.67759,23.4965430051275
Brazil,BRA,194946000,Law&Justice,15383989322.5159,78.9141060730454
Brazil,BRA,194946000,Water,13273988284.0325,68.0905906457814
Burkina Faso,BFA,16468000,Agriculture,3229687618.3634,196.118995528504
Burkina Faso,BFA,16468000,Education,1630694827.2917,99.0220322620658
Burkina Faso,BFA,16468000,Health,1396071365.45085,84.7747975134108
Burkina Faso,BFA,16468000,Law&Justice,1401040449.68243,85.0765393297565
Burkina Faso,BFA,16468000,Water,1937187697.4502,117.633452602028
Burundi,BDI,8382000,Agriculture,1343102707.6755,160.236543506979
Burundi,BDI,8382000,Education,500148731.4447,59.6693786023264
Burundi,BDI,8382000,Health,701188268.11188,83.654052506786
Burundi,BDI,8382000,Law&Justice,1160634997.24366,138.467549182016
Burundi,BDI,8382000,Water,489505825.6495,58.3996451502625
Cameroon,CMR,19599000,Agriculture,3807116866.0834,194.25056717605
Cameroon,CMR,19599000,Education,2082000827.7618,106.22995192417
Cameroon,CMR,19599000,Health,1072709660.41724,54.7328772089005
Cameroon,CMR,19599000,Law&Justice,829929762.3284,42.345515706332
Cameroon,CMR,19599000,Water,1108704985.7772,56.5694671043012
Chad,TCD,11227000,Agriculture,1793050688.3488,159.708799175986
Chad,TCD,11227000,Education,645795588.203,57.5216521067961
Chad,TCD,11227000,Health,861326986.924,76.7192470761557
Chad,TCD,11227000,Law&Justice,747445475.7493,66.575708181108
Chad,TCD,11227000,Water,580502133.283,51.7058994640599
Colombia,COL,46295000,Agriculture,5830129988.0745,125.934333903759
Colombia,COL,46295000,Education,2560129386.7069,55.3003431624776
Colombia,COL,46295000,Health,1222487763.65993,26.4064750763566
Colombia,COL,46295000,Law&Justice,21726784241.9718,469.311680353641
Colombia,COL,46295000,Water,4457739043.57804,96.2898594573505
Congo  Dem. Rep.,COD,65965000,Agriculture,2125698421.2389,32.2246406615463
Congo  Dem. Rep.,COD,65965000,Education,1192677057.2702,18.0804526229091
Congo  Dem. Rep.,COD,65965000,Health,2971500075.71248,45.046616777268
Congo  Dem. Rep.,COD,65965000,Law&Justice,3352445533.201,50.8215801288714
Congo  Dem. Rep.,COD,65965000,Water,1852813300.0399,28.0878238465838
Cote D'Ivoire,CIV,19738000,Agriculture,4786655012.9718,242.509626759135
Cote D'Ivoire,CIV,19738000,Education,1591702006.4402,80.641504024734
Cote D'Ivoire,CIV,19738000,Health,1437335961.79741,72.8207499137407
Cote D'Ivoire,CIV,19738000,Law&Justice,2725352130.1844,138.076407446773
Cote D'Ivoire,CIV,19738000,Water,969746319.1008,49.1309311531462
Ecuador,ECU,14465000,Agriculture,3984234403.27735,275.439640738151
Ecuador,ECU,14465000,Education,1512595474.1223,104.569337996702
Ecuador,ECU,14465000,Health,1103289159.90147,76.273014856652
Ecuador,ECU,14465000,Law&Justice,3759728098.4925,259.918983649672
Ecuador,ECU,14465000,Water,3587539306.7448,248.015161199087
Egypt,EGY,81121000,Agriculture,11081105333.7353,136.599713190608
Egypt,EGY,81121000,Education,4503675362.8696,55.5179961153043
Egypt,EGY,81121000,Health,3249987817.0295,40.0634585006287
Egypt,EGY,81121000,Law&Justice,4435964418.4639,54.6833054136894
Egypt,EGY,81121000,Water,8076766263.8624,99.5644316990964
Ethiopia,ETH,82950000,Agriculture,5832540448.64991,70.3139294593118
Ethiopia,ETH,82950000,Education,3409943684.43211,41.1084229587958
Ethiopia,ETH,82950000,Health,5047890478.05475,60.8546169747408
Ethiopia,ETH,82950000,Law&Justice,4210169495.92976,50.7555092939091
Ethiopia,ETH,82950000,Water,2081996308.443,25.0994130011212
Ghana,GHA,24392000,Agriculture,4234174668.2964,173.588663016415
Ghana,GHA,24392000,Education,2065031774.5795,84.6602072228395
Ghana,GHA,24392000,Health,2521607413.19648,103.378460691886
Ghana,GHA,24392000,Law&Justice,2896546269.91406,118.749847077487
Ghana,GHA,24392000,Water,2294771295.0676,94.0788494206133
Guatemala,GTM,14389000,Agriculture,1537633834.78374,106.861757925064
Guatemala,GTM,14389000,Education,1387354198.24609,96.4176939499683
Guatemala,GTM,14389000,Health,1377233407.12502,95.7143239366889
Guatemala,GTM,14389000,Law&Justice,3627479940.47161,252.100906280604
Guatemala,GTM,14389000,Water,956388087.1652,66.4666124932379
Haiti,HTI,9993000,Agriculture,1332500791.0251,133.343419496157
Haiti,HTI,9993000,Education,1106413339.2796,110.71883711394
Haiti,HTI,9993000,Health,1873734576.94521,187.504710992216
Haiti,HTI,9993000,Law&Justice,2369889616.89601,237.154970168719
Haiti,HTI,9993000,Water,754573020.052,75.5101591165816
Honduras,HND,7600000,Agriculture,2678956007.1478,352.494211466816
Honduras,HND,7600000,Education,1057972779.3735,139.206944654408
Honduras,HND,7600000,Health,1119959135.50912,147.363044145936
Honduras,HND,7600000,Law&Justice,2444507644.4716,321.645742693632
Honduras,HND,7600000,Water,1507243047.9004,198.321453671105
India,IND,1224615000,Agriculture,43647903110.5022,35.6421431311083
India,IND,1224615000,Education,9968333399.66154,8.13997329745393
India,IND,1224615000,Health,15663212336.2878,12.7903155981984
India,IND,1224615000,Law&Justice,10880825266.2343,8.88509879940581
India,IND,1224615000,Water,17238405869.2192,14.0765921283172
Indonesia,IDN,239870000,Agriculture,30034682060.9416,125.212331933721
Indonesia,IDN,239870000,Education,14927219705.5222,62.2304569371835
Indonesia,IDN,239870000,Health,6716221651.87304,27.9994232370577
Indonesia,IDN,239870000,Law&Justice,14703157553.4987,61.2963586671891
Indonesia,IDN,239870000,Water,7029529810.7053,29.3055814011977
Jamaica,JAM,2702000,Agriculture,1973276730.575,730.302268902665
Jamaica,JAM,2702000,Education,1008100861.7216,373.094323361066
Jamaica,JAM,2702000,Health,545124785.208,201.748625169504
Jamaica,JAM,2702000,Law&Justice,1721636068.0406,637.171009637528
Jamaica,JAM,2702000,Water,645020003.6904,238.719468427239
Kenya,KEN,40513000,Agriculture,7301619865.77178,180.229058963093
Kenya,KEN,40513000,Education,2361108739.31379,58.2802739691899
Kenya,KEN,40513000,Health,6046003238.4497,149.236127624459
Kenya,KEN,40513000,Law&Justice,2593290626.58239,64.0113204794113
Kenya,KEN,40513000,Water,3482710619.3236,85.9652610106287
Madagascar,MDG,20714000,Agriculture,3520282455.3904,169.947014356976
Madagascar,MDG,20714000,Education,1271328901.81954,61.375345265016
Madagascar,MDG,20714000,Health,1238472043.62624,59.7891302320288
Madagascar,MDG,20714000,Law&Justice,1157453364.50734,55.877829704902
