country,topcountries,code,population,totalaid,totalaid_percap
Afghanistan,true,AFG,34385000,2.3599759451261005E10,686.3387945691727
Albania,true,ALB,3205000,3.941799490199784E9,1229.8906365677954
Algeria,true,DZA,35468000,1.2841351219607224E10,362.0545624113912
Angola,true,AGO,19082000,5.409345591602805E9,283.4789640290748
Antigua & Barbuda,true,ATG,88000,2.143956806888E8,2436.3145532818185
Argentina,true,ARG,40412000,3.825685928406485E10,946.6707731382968
Armenia,true,ARM,3092000,1.2323412317302608E9,398.5579662775747
Aruba,true,ABW,108000,5.326083763000001E7,493.1559039814816
Australia,true,AUS,22299000,2777325,0
Austria,true,AUT,8390000,502537.89,0.05989724553039333
Azerbaijan,true,AZE,9054000,3.0559385490314403E9,337.52358615324056
Bahamas,true,BHS,343000,3.1537856573859996E8,919.4710371387754
Bahrain,true,BHR,1262000,9.6799552746E8,767.0329060697306
Bangladesh,true,BGD,148692000,3.499567769479532E10,235.35682951870524
Barbados,true,BRB,274000,9.503713402270999E8,3468.508540974817
Belarus,true,BLR,9490000,7.9247797168015E8,83.50663558273446
Belgium,true,BEL,10896000,518721,0
Belize,true,BLZ,345000,8.255898317405002E8,2393.014005044928
Benin,true,BEN,8850000,5.662834248717752E9,639.8682766912715
Bermuda,true,BMU,64600,72095.29999999999,1.1160263157894734
Bhutan,true,BTN,726000,1.22042362685717E9,1681.0242794175897
Bolivia,true,BOL,9929000,1.3066007448316565E10,1315.9439468543221
Bosnia-Herzegovina,true,BIH,3760000,4.857478914486342E9,1291.8826900229635
Botswana,true,BWA,2007000,5.128481123821946E9,2555.2970223328084
Brazil,true,BRA,194946000,5.654387520430296E10,290.0489120284744
Brunei,true,BRN,399000,2798603.6650000005,7.014044273182959
Bulgaria,true,BGR,7534000,3.594869029596796E9,477.152778019219
Burkina Faso,true,BFA,16468000,9.594681958238585E9,582.6258172357653
Burundi,true,BDI,8382000,4.194580530125239E9,500.4271689483702
Cambodia,true,KHM,14139000,6.026299853887694E9,426.2182512120867
Cameroon,true,CMR,19599000,8.900462102368038E9,454.12837911975294
Canada,true,CAN,34126000,3912457,0
Cape Verde,true,CPV,496000,1.9851027979778402E9,4002.2233830198393
Cayman Islands,true,CYM,56230,4.14324881E7,736.8395536190645
Central African Rep.,true,CAF,4401000,2.348900091489679E9,533.7196299681161
Chad,true,TCD,11227000,4.628120872508102E9,412.2313060041064
Chile,true,CHL,17113688,6.590923636326174E9,385.12584992353334
China,true,CHN,1338300000,6.19955277494499E10,46.32408858211903
Colombia,true,COL,46295000,3.5797270423991196E10,773.2426919535845
Comoros,true,COM,735000,8.554821691416999E8,1163.921318560136
"Congo, Dem. Rep.",true,COD,65965000,1.149513438746248E10,174.26111403717852
"Congo, Rep.",true,COG,4043000,1.872231088125919E9,463.0796656260003
Costa Rica,true,CRI,4659000,4.694571966168428E9,1007.6351075699567
Cote D'Ivoire,true,CIV,19738000,1.151079143049461E10,583.1792192975281
Croatia,true,HRV,4418000,4.012439014433673E9,908.2025836201161
Cuba,true,CUB,11258000,1.1668018461627E9,103.64201866785396
Cyprus,true,CYP,1103000,1.420956616976E9,1288.2652919093382
Czech Republic,true,CZE,10520000,8.346442901238997E8,79.33881084827944
Denmark,true,DNK,5547000,396861,0
Djibouti,true,DJI,889000,1.5412747005811996E9,1733.7173234884135
Dominica,true,DMA,68000,4.1342409027020013E8,6079.766033385296
Dominican Republic,true,DOM,9927000,7.632934419981537E9,768.9064591499483
Ecuador,true,ECU,14465000,1.3947386442538424E10,964.2161384402643
Egypt,true,EGY,81121000,3.134749919596071E10,386.4289049193268
El Salvador,true,SLV,6193000,9.240153071636806E9,1492.0318216755702
Equatorial Guinea,true,GNQ,700000,8.075718846103004E8,1153.6741208718577
Eritrea,true,ERI,5254000,1.99860619070231E9,380.39706713024555
Estonia,true,EST,1340000,4.463278808152999E8,333.08050807111937
Ethiopia,true,ETH,82950000,2.058254041550953E10,248.13189168787858
Fiji,true,FJI,860000,1.23181948556027E9,1432.34823902357
Finland,true,FIN,5364000,1.750764257E8,32.63915467934377
France,true,FRA,64895000,6474713.94,0.09977215409507667
French Polynesia,true,PYF,271000,4.13276277538E8,1525.0047141623616
Gabon,true,GAB,1505000,2.6937739995406995E9,1789.8830561732223
Gambia,true,GMB,1729000,1.6415663207777007E9,949.4310704324469
Georgia,true,GEO,4452000,2.826784132409874E9,634.9470198584622
Germany,true,DEU,81777000,57097.4,6.982085427442924E-4
Ghana,true,GHA,24392000,1.4012131421054035E10,574.4560274292405
Gibraltar,true,GIB,29244,7.966767857E7,2724.2401371221445
Greece,true,GRC,11316000,1.225588529E9,108.30580850123718
Grenada,true,GRD,104000,3.658731496523001E8,3518.0110543490396
Guatemala,true,GTM,14389000,8.886089467791658E9,617.5612945855625
Guinea,true,GIN,9982000,5.463744297986308E9,547.3596772176226
Guinea-Bissau,true,GNB,1515000,1.800045429480319E9,1188.1487983368443
Guyana,true,GUY,755000,3.2100907623098087E9,4251.775844118952
Haiti,true,HTI,9993000,7.437111344197915E9,744.2320968876128
Honduras,true,HND,7600000,8.808638614402414E9,1159.0313966318965
"Hong Kong, China",true,HKG,7068000,2.46649493759E8,34.89664597608942
Hungary,true,HUN,10000000,3.412142418995588E9,341.2142418995588
Iceland,true,ISL,318000,1.48332E7,46.64528301886792
India,true,IND,1224615000,9.739867998190508E10,79.53412295448372
Indonesia,true,IDN,239870000,7.34108107825408E10,306.04415217634886
Iran,true,IRN,73973000,3.7661704552864494E9,50.91277162324699
Iraq,true,IRQ,32031000,1.99422686063524E10,622.5927572149606
Ireland,true,IRL,4475000,2.928772E8,65.44741899441341
Israel,true,ISR,7624000,1.9382809805770004E9,254.2341265184943
Italy,true,ITA,60483000,748047.2,0.012367891804308648
Jamaica,true,JAM,2702000,5.8931584492356E9,2181.0356954980016
Japan,true,JPN,127451000,1115629.2,0.008753396991785078
Jordan,true,JOR,6047000,1.1086096328787725E10,1833.3217014697743
Kazakhstan,true,KAZ,16323000,5.154055355607016E9,315.75417237070485
Kenya,true,KEN,40513000,2.178473308944127E10,537.7220420467818
Kiribati,true,KIR,100000,4.696702409429523E8,4696.702409429523
Korea,true,KOR,48875000,1.1901340809609999E10,243.50569431427107
"Korea, Dem. Rep.",true,PRK,24346000,4.413876929218469E8,18.129782835859974
Kosovo,true,KSV,1815000,1.4221861648513095E9,783.5736445461761
Kuwait,true,KWT,2736000,3.73215976825E7,13.640934825475146
Kyrgyz Republic,true,KGZ,5448000,2.1989156203265424E9,403.6188730408484
Latvia,true,LVA,2239000,6.77769407276496E8,302.7107669836963
Lebanon,true,LBN,4227000,5.930055264597512E9,1402.8992819014697
Lesotho,true,LSO,2171000,2.982899329265309E9,1373.974817717784
Liberia,true,LBR,3994000,2.769480299673236E9,693.4101902036144
Libya,true,LBY,6355000,8.46755106731E7,13.324234566970889
Liechtenstein,true,LIE,36032,121012.89,3.3584838476909415
Lithuania,true,LTU,3287000,5.66174058084E8,172.24644298265895
"Macedonia, FYR",true,MKD,2060000,2.302629530813025E9,1117.7813256373909
Madagascar,true,MDG,20714000,7.795841419305231E9,376.3561561893034
Malawi,true,MWI,14901000,9.54859660172693E9,640.8024026392142
Malaysia,true,MYS,28401000,1.1097033307478533E10,390.7268514305318
Maldives,true,MDV,316000,6.710962815882E8,2123.7224100892404
Mali,true,MLI,15370000,1.2371920196875479E10,804.9395053269667
Malta,true,MLT,416000,5.33297928509E7,128.1966174300481
Marshall Islands,true,MHL,54038,3.5023171907480013E8,6481.2117227654635
Mauritania,true,MRT,3460000,4.862342265820899E9,1405.3012328962136
Mauritius,true,MUS,1281000,3.0274575966557794E9,2363.3548763901476
Mayotte,true,MYT,204000,2.7352507258940005E9,13408.091793598041
Mexico,true,MEX,113423000,7.103980817179774E10,626.3263021767873
Moldova,true,MDA,3562000,1.0896764395446002E9,305.91702401589004
Mongolia,true,MNG,2756000,2.0353548780919657E9,738.5177351567364
Montenegro,true,MNE,632000,3.843241207005E8,608.1077859185127
Morocco,true,MAR,31951000,3.560477219517162E10,1114.3554879400215
Mozambique,true,MOZ,23390000,1.7126322155495497E10,732.2070181913423
Myanmar,true,MMR,47963000,4.69429428300411E9,97.87324151959032
Namibia,true,NAM,2283000,3.2607444643849816E9,1428.2717759023135
Nepal,true,NPL,29959000,1.0818059065515491E10,361.0954659873658
New Caledonia,true,NCL,247000,6.143962110400001E8,2487.4340527935224
New Zealand,true,NZL,4368000,819689.7,0.18765789835164834
Nicaragua,true,NIC,5789000,9.496097712253286E9,1640.369271420502
Niger,true,NER,15512000,7.386579781117428E9,476.18487500757016
Nigeria,true,NGA,158423000,2.434042460540263E10,153.64198762428833
Norway,true,NOR,4889000,332550,0
Oman,true,OMN,2783000,7.743077117141997E8,278.2277081258353
Pakistan,true,PAK,173593000,4.2701780890104004E10,245.9879193867495
Palau,true,PLW,20472,7.525240502310002E7,3675.86972563013
Panama,true,PAN,3517000,4.222374921763502E9,1200.5615359009105
Papua New Guinea,true,PNG,6858000,7.673793423684921E9,1118.9550049117704
Paraguay,true,PRY,6454000,4.760604856974615E9,737.6208331228099
Peru,true,PER,29076000,2.1928829883761868E10,754.1900496547622
Philippines,true,PHL,93261000,3.2454477002149117E10,347.9962363919443
Poland,true,POL,38184000,7.739138716390351E9,202.68014656375317
Portugal,true,PRT,10638000,1.076499985E9,101.19383201729649
Qatar,true,QAT,1759000,2.9538115819999997E7,16.792561580443433
Romania,true,ROU,21438000,1.120399067991269E10,522.6229443004333
Rwanda,true,RWA,10624000,7.242593248187277E9,681.7199970055796
Samoa,true,WSM,184000,9.038060931094856E8,4911.989636464596
Saudi Arabia,true,SAU,27448000,1.496259286588E8,5.451250679787234
Senegal,true,SEN,12434000,1.338173777748561E10,1076.2214715687317
Serbia,true,SRB,7291000,7.597059716476795E9,1041.9777419389377
Seychelles,true,SYC,87000,6.075079980331E8,6982.850552104598
Sierra Leone,true,SLE,5867000,3.2205377573654556E9,548.9241106810049
Singapore,true,SGP,5077000,7.809152936310002E8,153.8143182255269
Slovak Republic,true,SVK,5430000,6.86110490020992E8,126.35552302412377
Slovenia,true,SVN,2049000,1.722892465456E8,84.08455175480722
Solomon Islands,true,SLB,538000,2.3251259694449553E9,4321.795482239694
Somalia,true,SOM,9331000,4.536082700122749E9,486.13039332576886
South Africa,true,ZAF,49991000,1.1780978805771648E10,235.66199527458238
Spain,true,ESP,46071000,6.8184165E8,14.799801393501335
Sri Lanka,true,LKA,20860000,1.442314974743556E10,691.426162389049
St. Lucia,true,LCA,174000,6.376191285052003E8,3664.4777500298865
Sudan,true,SDN,43552000,1.3591616411035082E10,312.07789334669087
Suriname,true,SUR,525000,1.4411024684804003E9,2744.9570828198102
Swaziland,true,SWZ,1056000,1.6299223437377396E9,1543.4870679334656
Switzerland,true,CHE,7826000,0,0
Tajikistan,true,TJK,6879000,1.7341135440973701E9,252.08802792518827
Tanzania,true,TZA,44841000,2.4500715681697144E10,546.3909297673366
Thailand,true,THA,69122000,1.9200646299094147E10,277.77909058033833
Timor-Leste,true,TLS,1124000,2.2628743208947473E9,2013.2333815789566
Togo,true,TGO,6028000,2.851834279569799E9,473.0979229545121
Tonga,true,TON,104000,4.706463021123779E8,4525.445212619018
Tunisia,true,TUN,10549000,1.79317510348042E10,1699.853164736392
Turkey,true,TUR,72752000,2.6851135395354626E10,369.0776252935263
