Year,Reason,total
1998,Agriculture,5555108466
1998,Education,3135428490
1998,Health,3784900525
1998,Law&Justice,6404808314
1998,Water,2526971689
1999,Agriculture,5277379724
1999,Education,4066470802
1999,Health,3859599183
1999,Law&Justice,9591709841
1999,Water,3628020823
2000,Agriculture,4477220322
2000,Education,3922686913
2000,Health,3223088876
2000,Law&Justice,9206022857
2000,Water,3273942328
2001,Agriculture,4083156744
2001,Education,3625283689
2001,Health,2692018107
2001,Law&Justice,9484453897
2001,Water,3729248134
2002,Agriculture,3855624912
2002,Education,4316550534
2002,Health,3444114506
2002,Law&Justice,7303471301
2002,Water,3034307102
2003,Agriculture,2935152841
2003,Education,4228256304
2003,Health,5156691274
2003,Law&Justice,10509871768
2003,Water,3131961135
2004,Agriculture,4397965917
2004,Education,5632041240
2004,Health,4740305172
2004,Law&Justice,10750366143
2004,Water,3018325683
2005,Agriculture,4761094214
2005,Education,3432665969
2005,Health,6602751180
2005,Law&Justice,10498544936
2005,Water,3212446229
2006,Agriculture,4007309058
2006,Education,5827115580
2006,Health,7042645040
2006,Law&Justice,11428689067
2006,Water,4744400214
2007,Agriculture,6809456826
2007,Education,5281056799
2007,Health,6519500434
2007,Law&Justice,10137556141
2007,Water,5191983514
2008,Agriculture,5396864139
2008,Education,5546343382
2008,Health,6767625381
2008,Law&Justice,11847819650
2008,Water,4134357093
2009,Agriculture,8402106013
2009,Education,6672493635
2009,Health,7621923995
2009,Law&Justice,12434964105
2009,Water,5164096440
2010,Agriculture,7160707947
2010,Education,5435566817
2010,Health,6996079129
2010,Law&Justice,13151214393
2010,Water,5577737146
2011,Agriculture,864040326
2011,Education,1012202500
2011,Health,1298886960
2011,Law&Justice,2846466300
2011,Water,2715504420
