country,code,population,agriculture,agriculturepercap,Education,Educationpercap,Health,Healthpercap,water,waterpercap,Law,Lawpercap
Bangladesh,BGD,148692000,1.4446879232041697E10,97.1597613324301,6.636641092224201E9,44.633477875233375,6.824622156000078E9,45.89770906303014,3.4467988933697996E9,23.180795828758775,3.640736321159547E9,24.485085419252865
Benin,BEN,8850000,1.4738057231256793E9,166.5317201271954,1.0880510301822E9,122.94361922962712,1.14337371289855E9,129.1947698190452,9.381013110090998E8,106.00014813662145,1.0195024715022228E9,115.19801937878223
Bolivia,BOL,9929000,3.633984075015071E9,365.99698610283724,1.4875050341164474E9,149.81418411888885,1.5763495845798295E9,158.76216986401747,1.7533455845420997E9,176.58833563723434,4.61482317006312E9,464.78227113134454
Brazil,BRA,194946000,1.76457568911836E10,90.51612698482452,5.659583633893353E9,29.03154531969547,4.580557072677593E9,23.49654300512754,1.32739882840325E10,68.09059064578139,1.5383989322515905E10,78.91410607304539
Burkina Faso,BFA,16468000,3.229687618363399E9,196.11899552850372,1.6306948272916996E9,99.0220322620658,1.3960713654508498E9,84.77479751341085,1.9371876974502E9,117.63345260202819,1.4010404496824307E9,85.07653932975654
Burundi,BDI,8382000,1.3431027076755002E9,160.23654350697927,5.0014873144469994E8,59.669378602326404,7.011882681118801E8,83.65405250678597,4.895058256495001E8,58.39964515026247,1.16063499724366E9,138.46754918201623
Cameroon,CMR,19599000,3.8071168660833993E9,194.25056717604977,2.0820008277617996E9,106.22995192416958,1.07270966041724E9,54.732877208900454,1.1087049857771997E9,56.569467104301225,8.299297623283999E8,42.34551570633195
Chad,TCD,11227000,1.7930506883488004E9,159.70879917598648,6.45795588203E8,57.52165210679611,8.61326986924E8,76.7192470761557,5.805021332830001E8,51.70589946405987,7.474454757493E8,66.57570818110804
Colombia,COL,46295000,5.830129988074501E9,125.93433390375853,2.5601293867069E9,55.30034316247759,1.22248776365993E9,26.406475076356624,4.45773904357804E9,96.28985945735047,2.1726784241971825E10,469.3116803536413
Congo Dem Rep,COD,65965000,2.1256984212388997E9,32.22464066154627,1.1926770572702003E9,18.08045262290912,2.9715000757124805E9,45.04661677726796,1.8528133000399E9,28.087823846583795,3.3524455332009997E9,50.82158012887137
Cote DIvoire,CIV,19738000,4.7866550129718E9,242.50962675913465,1.5917020064401999E9,80.641504024734,1.4373359617974138E9,72.8207499137407,9.697463191008E8,49.130931153146214,2.7253521301844006E9,138.07640744677275
Ecuador,ECU,14465000,3.9842344032773504E9,275.43964073815073,1.5125954741222997E9,104.56933799670236,1.1032891599014711E9,76.273014856652,3.5875393067448E9,248.01516119908746,3.7597280984924994E9,259.9189836496716
Egypt,EGY,81121000,1.1081105333735298E10,136.59971319060784,4.503675362869599E9,55.51799611530429,3.2499878170295E9,40.06345850062869,8.076766263862401E9,99.56443169909642,4.435964418463899E9,54.68330541368941
Ethiopia,ETH,82950000,5.83254044864991E9,70.31392945931175,3.4099436844321117E9,41.1084229587958,5.047890478054747E9,60.854616974740765,2.081996308443E9,25.099413001121157,4.210169495929761E9,50.755509293909114
Ghana,GHA,24392000,4.2341746682964005E9,173.58866301641524,2.0650317745795E9,84.66020722283946,2.5216074131964808E9,103.37846069188589,2.2947712950676003E9,94.07884942061332,2.8965462699140596E9,118.74984707748686
Guatemala,GTM,14389000,1.53763383478374E9,106.8617579250636,1.387354198246094E9,96.41769394996831,1.377233407125016E9,95.71432393668886,9.563880871652001E8,66.4666124932379,3.62747994047161E9,252.10090628060394
Haiti,HTI,9993000,1.3325007910251002E9,133.34341949615734,1.1064133392796E9,110.71883711393974,1.87373457694521E9,187.50471099221554,7.545730200520002E8,75.51015911658162,2.3698896168960104E9,237.15497016871913
Honduras,HND,7600000,2.6789560071478004E9,352.49421146681584,1.0579727793735E9,139.2069446544079,1.1199591355091157E9,147.36304414593627,1.5072430479003997E9,198.32145367110522,2.4445076444716005E9,321.64574269363163
India,IND,1224615000,4.364790311050216E10,35.64214313110828,9.96833339966154E9,8.139973297453926,1.566321233628779E10,12.790315598198447,1.7238405869219193E10,14.07659212831722,1.0880825266234348E10,8.885098799405812
Indonesia,IDN,239870000,3.003468206094158E10,125.21233193372069,1.49272197055222E10,62.230456937183476,6.716221651873035E9,27.99942323705772,7.029529810705302E9,29.305581401197742,1.4703157553498653E10,61.29635866718912
Jamaica,JAM,2702000,1.9732767305750003E9,730.3022689026648,1.0081008617216E9,373.0943233610659,5.45124785208E8,201.74862516950404,6.450200036904E8,238.7194684272391,1.7216360680406005E9,637.171009637528
Kenya,KEN,40513000,7.30161986577178E9,180.22905896309283,2.36110873931379E9,58.280273969189885,6.046003238449697E9,149.23612762445873,3.4827106193236003E9,85.9652610106287,2.5932906265823917E9,64.01132047941134
Madagascar,MDG,20714000,3.520282455390401E9,169.947014356976,1.2713289018195407E9,61.375345265015966,1.2384720436262448E9,59.78913023202881,6.083046539617001E8,29.366836630380423,1.1574533645073402E9,55.877829704902005
Mali,MLI,15370000,4.5062232776918E9,293.1830369350553,1.99743316348114E9,129.95661440996355,1.54218411173753E9,100.33728768624138,2.2097928940879993E9,143.77312258217302,2.1162867498770099E9,137.6894437135335
Mauritania,MRT,3460000,1.7307849565695004E9,500.22686606054924,7.48943835409E8,216.45775589855492,4.739469511476001E8,136.97888761491333,1.2114324820444E9,350.1249948105202,6.972340406503998E8,201.51272851167624
Morocco,MAR,31951000,1.2622722886211058E10,395.0650335266833,6.773104508159699E9,211.98411655847076,1.8980620114763002E9,59.405402381030335,9.67747178489657E9,302.88478560597696,4.63341100442799E9,145.01614986785984
Nepal,NPL,29959000,4.4755243212512E9,149.3883080627257,1.9994133557526004E9,66.73832089697922,1.55259441166932E9,51.82397315228546,1.31706724309001E9,43.96232327814713,1.473459733752368E9,49.18254059722848
Nicaragua,NIC,5789000,2.4584545858052E9,424.67690202197275,1.0586164523093939E9,182.866894508446,1.5079945968595347E9,260.49310707540764,1.1280756066337001E9,194.86536649398863,3.342956470645454E9,577.4670013206864
Niger,NER,15512000,2.6549053041612005E9,171.15170862307895,9.442481995921003E8,60.87211188706165,1.0642506670088301E9,68.60821731619585,1.3891187009733002E9,89.55123136754128,1.334056909382E9,86.00160581369262
Pakistan,PAK,173593000,1.8597632141824615E10,107.1335373075217,6.7845155449646E9,39.082886665733064,4.31978407313778E9,24.88455221776097,4.2553872181890407E9,24.513587634230877,8.744461911987959E9,50.37335556150282
Peru,PER,29076000,6.5523656445189495E9,225.35306247485727,1.63221731641E9,56.136240074632,1.89964219969763E9,65.33368412772148,3.2662932078780003E9,112.33640142653736,8.57831151525729E9,295.03066155101425
Philippines,PHL,93261000,1.432851743716971E10,153.63889983133046,3.7176290090801406E9,39.86263292351723,2.908185394369701E9,31.183296280006658,6.2027786912754E9,66.50988828422814,5.29736647025417E9,56.801519072861865
Rwanda,RWA,10624000,1.6951345122263E9,159.5570888767225,9.762664475772998E8,91.8925496590079,2.15972663231787E9,203.2875218672694,7.03569147361E8,66.22450558744352,1.7078965087048101E9,160.7583310151365
Senegal,SEN,12434000,5.033793970526301E9,404.8410785367783,2.584467923427201E9,207.85490778729297,1.7526396620614004E9,140.95541756967995,2.668770089121149E9,214.63487929235555,1.34206613234956E9,107.93518838262506
Sri Lanka,LKA,20860000,6.175668842619184E9,296.05315640552175,1.7182400459248514E9,82.37008849112424,1.1427764359412E9,54.783146497660596,3.3534241447718005E9,160.75858795646215,2.033040278178533E9,97.4611830382806
Sudan,SDN,43552000,6.424289684570997E9,147.50848834889322,9.008263695804001E8,20.683926560901913,1.55873339185987E9,35.790167888038894,1.7295482033800004E9,39.712256690393104,2.9782187616438093E9,68.38305385846365
Tanzania,TZA,44841000,6.7206496834980955E9,149.8773373363238,3.737647255843457E9,83.35334305308662,6.149327462932981E9,137.13626955092394,3.3578474864858E9,74.88342112097857,4.53524379293682E9,101.14055870602395
Thailand,THA,69122000,8.489747025528973E9,122.82264728348387,2.3326025816239E9,33.74616737976187,1.1674330748304718E9,16.8894574061872,3.4821717145128994E9,50.377184029873256,3.7286919025978966E9,53.94363448103204
Tunisia,TUN,10549000,6.1497449721009E9,582.9694731349796,3.8278004477066E9,362.8590812121149,7.043795224712001E8,66.77216062860936,5.4043263020234995E9,512.3069771564603,1.845499790502E9,174.9454726042279
Yemen,YEM,24053000,3.5639034341490006E9,148.1687703882676,1.7144519232043998E9,71.27809101585665,1.128057342724047E9,46.8988210503491,2.7966833180657997E9,116.27170490441108,1.6384077314266484E9,68.11656472900047
